id,result_file,paper_title,authors,original_year,replication_year,journal,doi,domain,original_effect_size,original_sample_size,replication_effect_size,replication_sample_size,replication_variance,outcome,risk_of_bias_score,full_citation_apa7
11,result_011.md,Embodied cleansing reduces moral disgust (Macbeth effect),Zhong & Liljenquist,2006,2019,Science,10.1126/science.1130726,Embodiment,0.62,60,0.05,1322,0.0030266641452344934,failed_replication,4,Zhong & Liljenquist (2006). Embodied cleansing reduces moral disgust (Macbeth effect). *Science*. https://doi.org/10.1126/science.1130726
12,result_012.md,Loss aversion in economic decision-making,Kahneman & Tversky,1979,2016,Econometrica,10.2307/1914185,Decision-making,0.85,95,0.7,1230,0.003451219512195122,successful_replication,1,Kahneman & Tversky (1979). Loss aversion in economic decision-making. *Econometrica*. https://doi.org/10.2307/1914185
13,result_013.md,Ego depletion in self-control crossover study,Hagger et al.,2010,2016,Psychological Bulletin,10.1037/a0019486,Self-regulation,0.62,198,0.04,2141,0.001869532710280374,failed_replication,3,Hagger et al. (2010). Ego depletion in self-control crossover study. *Psychological Bulletin*. https://doi.org/10.1037/a0019486
14,result_014.md,Professor priming improves trivia performance,Dijksterhuis & van Knippenberg,1998,2015,JPSP,10.1037/0022-3514.74.4.865,Social priming,0.58,60,0.08,4493,0.0008911843276936776,failed_replication,4,Dijksterhuis & van Knippenberg (1998). Professor priming improves trivia performance. *JPSP*. https://doi.org/10.1037/0022-3514.74.4.865
15,result_015.md,Mindset interventions and academic achievement,Yeager et al.,2019,2022,Nature,10.1038/s41586-019-1466-y,Mindset,0.1,12490,0.09,6320,0.0006335522151898734,failed_replication,1,Yeager et al. (2019). Mindset interventions and academic achievement. *Nature*. https://doi.org/10.1038/s41586-019-1466-y
16,result_016.md,Implicit Association Test: predictive validity of bias,Greenwald et al.,1998,2017,JPSP,10.1037/0022-3514.74.6.1464,Implicit cognition,0.25,9000,0.18,12000,0.00033468333333333333,successful_replication,1,Greenwald et al. (1998). Implicit Association Test: predictive validity of bias. *JPSP*. https://doi.org/10.1037/0022-3514.74.6.1464
17,result_017.md,Disgust priming increases moral judgments,"Schnall, Haidt, Clore, & Jordan",2008,2014,PSPB,10.1177/0146167208317771,Embodiment,0.55,76,0.1,1300,0.0030807692307692307,failed_replication,4,"Schnall, Haidt, Clore, & Jordan (2008). Disgust priming increases moral judgments. *PSPB*. https://doi.org/10.1177/0146167208317771"
18,result_018.md,Choice blindness in political preferences,"Hall, Johansson, & Strandberg",2012,2016,PLOS ONE,10.1371/journal.pone.0045457,Decision-making,0.55,162,0.5,460,0.008967391304347826,successful_replication,1,"Hall, Johansson, & Strandberg (2012). Choice blindness in political preferences. *PLOS ONE*. https://doi.org/10.1371/journal.pone.0045457"
19,result_019.md,Mere exposure effect and stimulus liking,Zajonc,1968,2015,JPSP Monograph,10.1037/h0025848,Social cognition,0.3,240,0.26,950,0.004246105263157895,successful_replication,1,Zajonc (1968). Mere exposure effect and stimulus liking. *JPSP Monograph*. https://doi.org/10.1037/h0025848
20,result_020.md,Bystander effect in emergency intervention,Latané & Darley,1968,2019,JPSP,10.1037/h0026570,Social psychology,0.5,200,0.32,1600,0.002532,successful_replication,2,Latané & Darley (1968). Bystander effect in emergency intervention. *JPSP*. https://doi.org/10.1037/h0026570
21,result_021.md,Gender differences in negotiation outcomes,Stuhlmacher & Walters,1999,2017,Personnel Psychology,10.1111/j.1744-6570.1999.tb00175.x,Gender,0.2,21300,0.18,22000,0.00018255454545454544,successful_replication,1,Stuhlmacher & Walters (1999). Gender differences in negotiation outcomes. *Personnel Psychology*. https://doi.org/10.1111/j.1744-6570.1999.tb00175.x
22,result_022.md,Embodied warmth: holding warm cups and interpersonal warmth,Williams & Bargh,2008,2014,Science,10.1126/science.1162548,Embodiment,0.5,41,0.02,861,0.004651395348837209,failed_replication,4,Williams & Bargh (2008). Embodied warmth: holding warm cups and interpersonal warmth. *Science*. https://doi.org/10.1126/science.1162548
23,result_023.md,Time perception slowed by intense emotion,"Stetson, Fiesta, & Eagleman",2007,2017,PLOS ONE,10.1371/journal.pone.0001295,Perception,0.35,23,0.1,110,0.036409090909090905,failed_replication,4,"Stetson, Fiesta, & Eagleman (2007). Time perception slowed by intense emotion. *PLOS ONE*. https://doi.org/10.1371/journal.pone.0001295"
24,result_024.md,Power and abstract construal,Smith & Trope,2006,2015,JPSP,10.1037/0022-3514.90.4.578,Power,0.55,244,0.18,754,0.0053265251989389915,failed_replication,1,Smith & Trope (2006). Power and abstract construal. *JPSP*. https://doi.org/10.1037/0022-3514.90.4.578
25,result_025.md,Tit-for-tat strategies in iterated prisoner's dilemma,Axelrod,1984,2018,Basic Books (review),10.1126/science.7466396,Cooperation,0.6,5000,0.55,7800,0.0005322115384615385,successful_replication,1,Axelrod (1984). Tit-for-tat strategies in iterated prisoner's dilemma. *Basic Books (review)*. https://doi.org/10.1126/science.7466396
26,result_026.md,Embodied cognition: warmth and prosocial behavior,IJzerman & Semin,2009,2018,Psychological Science,10.1111/j.1467-9280.2009.02434.x,Embodiment,0.55,39,0.04,320,0.012502500000000001,failed_replication,5,IJzerman & Semin (2009). Embodied cognition: warmth and prosocial behavior. *Psychological Science*. https://doi.org/10.1111/j.1467-9280.2009.02434.x
27,result_027.md,Romantic priming and risk-taking in men,Baker & Maner,2008,2017,JESP,10.1016/j.jesp.2008.05.006,Evolutionary psych,0.5,91,0.1,410,0.00976829268292683,failed_replication,2,Baker & Maner (2008). Romantic priming and risk-taking in men. *JESP*. https://doi.org/10.1016/j.jesp.2008.05.006
28,result_028.md,Subliminal priming and word recognition,"Greenwald, Draine, & Abrams",1996,2015,Science,10.1126/science.273.5282.1699,Implicit cognition,0.4,200,0.2,1100,0.0036545454545454546,successful_replication,2,"Greenwald, Draine, & Abrams (1996). Subliminal priming and word recognition. *Science*. https://doi.org/10.1126/science.273.5282.1699"
29,result_029.md,Threat priming and conservative shift,Nail et al.,2009,2016,JESP,10.1016/j.jesp.2009.04.013,Political psych,0.4,73,0.05,380,0.010529605263157894,failed_replication,3,Nail et al. (2009). Threat priming and conservative shift. *JESP*. https://doi.org/10.1016/j.jesp.2009.04.013
30,result_030.md,Cleanliness and moral attitudes (sanitizing wipes),Helzer & Pizarro,2011,2017,Psychological Science,10.1177/0956797611402514,Embodiment,0.55,152,0.04,600,0.006668,failed_replication,2,Helzer & Pizarro (2011). Cleanliness and moral attitudes (sanitizing wipes). *Psychological Science*. https://doi.org/10.1177/0956797611402514
31,result_031.md,Reading literary fiction and theory of mind,Kidd & Castano,2013,2016,Science,10.1126/science.1239918,Theory of mind,0.42,356,0.08,792,0.005054545454545455,failed_replication,2,Kidd & Castano (2013). Reading literary fiction and theory of mind. *Science*. https://doi.org/10.1126/science.1239918
32,result_032.md,Status-by-association via Rolex/luxury cues,Nelissen & Meijers,2011,2018,Evolution and Human Behavior,10.1016/j.evolhumbehav.2010.11.002,Signaling,0.62,96,0.4,248,0.016451612903225808,successful_replication,3,Nelissen & Meijers (2011). Status-by-association via Rolex/luxury cues. *Evolution and Human Behavior*. https://doi.org/10.1016/j.evolhumbehav.2010.11.002
33,result_033.md,Goal contagion through observed behavior,"Aarts, Gollwitzer, & Hassin",2004,2017,JPSP,10.1037/0022-3514.87.1.23,Social priming,0.55,75,0.18,320,0.012550625000000001,failed_replication,1,"Aarts, Gollwitzer, & Hassin (2004). Goal contagion through observed behavior. *JPSP*. https://doi.org/10.1037/0022-3514.87.1.23"
34,result_034.md,Self-affirmation reduces stereotype threat,Martens et al.,2006,2018,JESP,10.1016/j.jesp.2005.06.003,Stereotype threat,0.5,87,0.25,612,0.006587009803921569,successful_replication,2,Martens et al. (2006). Self-affirmation reduces stereotype threat. *JESP*. https://doi.org/10.1016/j.jesp.2005.06.003
35,result_035.md,Smiling improves heart-rate recovery from stress,Kraft & Pressman,2012,2019,Psychological Science,10.1177/0956797612445312,Embodiment,0.45,169,0.05,1101,0.0036375,failed_replication,4,Kraft & Pressman (2012). Smiling improves heart-rate recovery from stress. *Psychological Science*. https://doi.org/10.1177/0956797612445312
36,result_036.md,Cognitive load impairs moral judgment,Greene et al.,2008,2017,Cognition,10.1016/j.cognition.2007.11.004,Moral psych,0.45,82,0.2,1175,0.003424190800681431,failed_replication,1,Greene et al. (2008). Cognitive load impairs moral judgment. *Cognition*. https://doi.org/10.1016/j.cognition.2007.11.004
37,result_037.md,Mortality salience and worldview defense,Greenberg et al.,1990,2019,JPSP,10.1037/0022-3514.58.2.308,Terror management,0.5,70,0.1,1500,0.00267,failed_replication,3,Greenberg et al. (1990). Mortality salience and worldview defense. *JPSP*. https://doi.org/10.1037/0022-3514.58.2.308
38,result_038.md,Embodied honesty: clean vs dirty hands and lying,Lee & Schwarz,2010,2017,Psychological Science,10.1177/0956797610382788,Embodiment,0.55,88,0.04,600,0.006668,failed_replication,4,Lee & Schwarz (2010). Embodied honesty: clean vs dirty hands and lying. *Psychological Science*. https://doi.org/10.1177/0956797610382788
39,result_039.md,Color red increases attractiveness ratings,Elliot & Niesta,2008,2018,JPSP,10.1037/0022-3514.95.5.1150,Perception,0.55,320,0.1,2200,0.0018204545454545455,failed_replication,2,Elliot & Niesta (2008). Color red increases attractiveness ratings. *JPSP*. https://doi.org/10.1037/0022-3514.95.5.1150
40,result_040.md,Cleaner-than-thou: handwashing cleanses post-decision dissonance,Lee & Schwarz,2010,2017,Science,10.1126/science.1186799,Embodiment,0.6,85,0.06,740,0.005407837837837838,failed_replication,3,Lee & Schwarz (2010). Cleaner-than-thou: handwashing cleanses post-decision dissonance. *Science*. https://doi.org/10.1126/science.1186799
41,result_041.md,Self-control and academic performance (kindergarten cohort),Duckworth & Seligman,2005,2018,Psychological Science,10.1111/j.1467-9280.2005.01641.x,Self-regulation,0.5,164,0.42,700,0.0058402857142857145,successful_replication,2,Duckworth & Seligman (2005). Self-control and academic performance (kindergarten cohort). *Psychological Science*. https://doi.org/10.1111/j.1467-9280.2005.01641.x
42,result_042.md,Growth mindset intervention in undergraduates,"Aronson, Fried, & Good",2002,2018,JESP,10.1006/jesp.2001.1491,Mindset,0.45,79,0.2,1500,0.00268,failed_replication,1,"Aronson, Fried, & Good (2002). Growth mindset intervention in undergraduates. *JESP*. https://doi.org/10.1006/jesp.2001.1491"
43,result_043.md,Need-to-belong: ostracism increases conformity,"Williams, Cheung, & Choi",2000,2017,JPSP,10.1037/0022-3514.79.5.748,Social rejection,0.6,1486,0.55,2800,0.0014825892857142856,successful_replication,1,"Williams, Cheung, & Choi (2000). Need-to-belong: ostracism increases conformity. *JPSP*. https://doi.org/10.1037/0022-3514.79.5.748"
44,result_044.md,Cheaters tend to prosper: dishonest behavior under time pressure,Shalvi et al.,2012,2019,Psychological Science,10.1177/0956797611435543,Moral psych,0.5,192,0.18,700,0.005737428571428571,failed_replication,3,Shalvi et al. (2012). Cheaters tend to prosper: dishonest behavior under time pressure. *Psychological Science*. https://doi.org/10.1177/0956797611435543
45,result_045.md,Sleep deprivation reduces moral awareness,Barnes et al.,2011,2019,OBHDP,10.1016/j.obhdp.2010.10.009,Self-regulation,0.4,80,0.15,600,0.006685416666666667,failed_replication,1,Barnes et al. (2011). Sleep deprivation reduces moral awareness. *OBHDP*. https://doi.org/10.1016/j.obhdp.2010.10.009
46,result_046.md,Anchoring effects in numerical estimation (Many Labs 2),Klein et al.,2014,2018,Social Psychology,10.1027/1864-9335/a000178,Decision-making,0.5,250,0.48,7600,0.0005414736842105263,successful_replication,1,Klein et al. (2014). Anchoring effects in numerical estimation (Many Labs 2). *Social Psychology*. https://doi.org/10.1027/1864-9335/a000178
47,result_047.md,Embodied cognition: heaviness and importance,"Jostmann, Lakens, & Schubert",2009,2014,Psychological Science,10.1111/j.1467-9280.2009.02426.x,Embodiment,0.55,40,0.02,1400,0.002857285714285714,failed_replication,5,"Jostmann, Lakens, & Schubert (2009). Embodied cognition: heaviness and importance. *Psychological Science*. https://doi.org/10.1111/j.1467-9280.2009.02426.x"
48,result_048.md,Belief in determinism increases cheating,Vohs & Schooler,2008,2016,Psychological Science,10.1111/j.1467-9280.2008.02045.x,Moral psych,0.55,119,0.08,1200,0.0033360000000000004,failed_replication,2,Vohs & Schooler (2008). Belief in determinism increases cheating. *Psychological Science*. https://doi.org/10.1111/j.1467-9280.2008.02045.x
49,result_049.md,Reward-prediction errors in dopaminergic neurons (human task),Schultz et al. analog,2003,2019,Neuron,10.1016/S0896-6273(03)00169-7,Neuroscience,0.7,35,0.55,220,0.01886931818181818,successful_replication,2,Schultz et al. analog (2003). Reward-prediction errors in dopaminergic neurons (human task). *Neuron*. https://doi.org/10.1016/S0896-6273(03)00169-7
50,result_050.md,Cross-cultural face perception and emotion recognition,Jack et al.,2012,2018,Current Biology,10.1016/j.cub.2012.04.018,Cross-cultural,0.65,30,0.42,240,0.017034166666666666,successful_replication,4,Jack et al. (2012). Cross-cultural face perception and emotion recognition. *Current Biology*. https://doi.org/10.1016/j.cub.2012.04.018
51,result_051.md,Decoy effect in consumer choice,"Huber, Payne, & Puto",1982,2017,JCR,10.1086/208898,Decision-making,0.5,153,0.45,1800,0.002278472222222222,successful_replication,1,"Huber, Payne, & Puto (1982). Decoy effect in consumer choice. *JCR*. https://doi.org/10.1086/208898"
52,result_052.md,Asymmetric dominance effect in mate choice,Sedikides et al.,1999,2018,JEP:G,10.1037/0096-3445.128.4.491,Mate choice,0.55,200,0.4,600,0.0068000000000000005,successful_replication,1,Sedikides et al. (1999). Asymmetric dominance effect in mate choice. *JEP:G*. https://doi.org/10.1037/0096-3445.128.4.491
53,result_053.md,Mortality salience and pro-environmental behavior,Fritsche et al.,2010,2019,JESP,10.1016/j.jesp.2010.03.001,Terror management,0.4,95,0.06,480,0.008337083333333333,failed_replication,3,Fritsche et al. (2010). Mortality salience and pro-environmental behavior. *JESP*. https://doi.org/10.1016/j.jesp.2010.03.001
54,result_054.md,Implicit attitudes predict discriminatory behavior,McConnell & Leibold,2001,2018,JESP,10.1006/jesp.2000.1470,Implicit cognition,0.3,42,0.1,1500,0.00267,failed_replication,1,McConnell & Leibold (2001). Implicit attitudes predict discriminatory behavior. *JESP*. https://doi.org/10.1006/jesp.2000.1470
55,result_055.md,Cognitive reflection test predicts religious disbelief,Pennycook et al.,2012,2017,Cognition,10.1016/j.cognition.2012.03.003,Cognition,0.28,350,0.21,3194,0.00125925172197871,successful_replication,1,Pennycook et al. (2012). Cognitive reflection test predicts religious disbelief. *Cognition*. https://doi.org/10.1016/j.cognition.2012.03.003
56,result_056.md,Loneliness contagion in social networks,"Cacioppo, Fowler, & Christakis",2009,2018,JPSP,10.1037/a0016076,Networks,0.2,4793,0.16,6000,0.0006688,successful_replication,2,"Cacioppo, Fowler, & Christakis (2009). Loneliness contagion in social networks. *JPSP*. https://doi.org/10.1037/a0016076"
57,result_057.md,Choice overload (jam study),Iyengar & Lepper,2000,2016,JPSP,10.1037/0022-3514.79.6.995,Decision-making,0.5,754,0.03,5000,0.00080009,failed_replication,2,Iyengar & Lepper (2000). Choice overload (jam study). *JPSP*. https://doi.org/10.1037/0022-3514.79.6.995
58,result_058.md,Halo effect in employee evaluation,Nisbett & Wilson,1977,2018,JPSP,10.1037/0022-3514.35.4.250,Social cognition,0.5,118,0.3,1200,0.0033708333333333338,successful_replication,2,Nisbett & Wilson (1977). Halo effect in employee evaluation. *JPSP*. https://doi.org/10.1037/0022-3514.35.4.250
59,result_059.md,Default options influence organ donation rates,Johnson & Goldstein,2003,2019,Science,10.1126/science.1091721,Public policy,0.6,161000,0.55,200000,2.0756250000000003e-05,successful_replication,2,Johnson & Goldstein (2003). Default options influence organ donation rates. *Science*. https://doi.org/10.1126/science.1091721
60,result_060.md,Verbal overshadowing of face recognition,Schooler & Engstler-Schooler,1990,2014,Cognitive Psychology,10.1016/0010-0285(90)90003-M,Memory,0.39,88,0.21,2569,0.0015662188473520248,successful_replication,1,Schooler & Engstler-Schooler (1990). Verbal overshadowing of face recognition. *Cognitive Psychology*. https://doi.org/10.1016/0010-0285(90)90003-M
61,result_061.md,Hindsight bias in event prediction,Fischhoff,1975,2017,JEP:HPP,10.1037/0096-1523.1.3.288,Decision-making,0.4,270,0.36,1500,0.0027098666666666668,successful_replication,1,Fischhoff (1975). Hindsight bias in event prediction. *JEP:HPP*. https://doi.org/10.1037/0096-1523.1.3.288
62,result_062.md,Group polarization in risky-shift paradigm,Stoner / Moscovici extensions,1969,2018,JESP,10.1016/0022-1031(69)90049-3,Group dynamics,0.55,240,0.48,1200,0.0034293333333333337,successful_replication,2,Stoner / Moscovici extensions (1969). Group polarization in risky-shift paradigm. *JESP*. https://doi.org/10.1016/0022-1031(69)90049-3
63,result_063.md,Gaze cueing of attention (Posner-cue analog),Friesen & Kingstone,1998,2017,Psychonomic Bulletin & Review,10.3758/BF03208827,Attention,0.6,32,0.55,600,0.00691875,successful_replication,1,Friesen & Kingstone (1998). Gaze cueing of attention (Posner-cue analog). *Psychonomic Bulletin & Review*. https://doi.org/10.3758/BF03208827
64,result_064.md,Endowment effect in trading mug experiments,"Kahneman, Knetsch, & Thaler",1990,2018,JPE,10.1086/261737,Decision-making,0.5,77,0.45,1800,0.002278472222222222,successful_replication,1,"Kahneman, Knetsch, & Thaler (1990). Endowment effect in trading mug experiments. *JPE*. https://doi.org/10.1086/261737"
65,result_065.md,Self-determination theory: autonomy support and motivation,"Deci, Eghrari, Patrick, & Leone",1994,2019,Journal of Personality,10.1111/j.1467-6494.1994.tb00797.x,Motivation,0.55,128,0.49,1200,0.0034333750000000002,successful_replication,2,"Deci, Eghrari, Patrick, & Leone (1994). Self-determination theory: autonomy support and motivation. *Journal of Personality*. https://doi.org/10.1111/j.1467-6494.1994.tb00797.x"
66,result_066.md,Embodied incidental affect (smile feedback Many Labs),Wagenmakers et al.,2016,2016,PoPS,10.1177/1745691616674458,Embodiment,0.1,1894,0.03,1894,0.002112170010559662,failed_replication,1,Wagenmakers et al. (2016). Embodied incidental affect (smile feedback Many Labs). *PoPS*. https://doi.org/10.1177/1745691616674458
67,result_067.md,False consensus effect in social judgment,"Ross, Greene, & House",1977,2017,JESP,10.1016/0022-1031(77)90049-X,Social cognition,0.45,320,0.42,1100,0.0037165454545454546,successful_replication,1,"Ross, Greene, & House (1977). False consensus effect in social judgment. *JESP*. https://doi.org/10.1016/0022-1031(77)90049-X"
68,result_068.md,Conformity in line-judgment task (Asch update),Bond & Smith,1996,2018,Psychological Bulletin,10.1037/0033-2909.119.1.111,Conformity,0.92,4627,0.65,6000,0.000701875,successful_replication,3,Bond & Smith (1996). Conformity in line-judgment task (Asch update). *Psychological Bulletin*. https://doi.org/10.1037/0033-2909.119.1.111
69,result_069.md,Cognitive dissonance: induced compliance and attitude change,Festinger & Carlsmith,1959,2017,JASP,10.1037/h0041593,Cognitive dissonance,0.55,71,0.4,1200,0.0034000000000000002,successful_replication,1,Festinger & Carlsmith (1959). Cognitive dissonance: induced compliance and attitude change. *JASP*. https://doi.org/10.1037/h0041593
70,result_070.md,Confirmation bias in 2-4-6 task,Wason,1960,2018,Quarterly Journal of Exp. Psych.,10.1080/17470216008416717,Reasoning,0.5,29,0.45,600,0.006835416666666667,successful_replication,2,Wason (1960). Confirmation bias in 2-4-6 task. *Quarterly Journal of Exp. Psych.*. https://doi.org/10.1080/17470216008416717
71,result_071.md,Availability heuristic and probability judgments,Tversky & Kahneman,1973,2017,Cognitive Psychology,10.1016/0010-0285(73)90033-9,Decision-making,0.45,152,0.4,1300,0.0031384615384615383,successful_replication,2,Tversky & Kahneman (1973). Availability heuristic and probability judgments. *Cognitive Psychology*. https://doi.org/10.1016/0010-0285(73)90033-9
72,result_072.md,Defensive pessimism and performance,Norem & Cantor,1986,2018,JPSP,10.1037/0022-3514.51.6.1208,Personality,0.3,60,0.18,380,0.010568947368421053,successful_replication,1,Norem & Cantor (1986). Defensive pessimism and performance. *JPSP*. https://doi.org/10.1037/0022-3514.51.6.1208
73,result_073.md,Construal level: psychological distance and abstraction,Trope & Liberman,2010,2018,Psychological Review,10.1037/a0018963,Cognition,0.4,800,0.32,1700,0.0023830588235294117,successful_replication,1,Trope & Liberman (2010). Construal level: psychological distance and abstraction. *Psychological Review*. https://doi.org/10.1037/a0018963
74,result_074.md,Money priming and self-sufficient behavior (Many Labs 3),Vohs et al.,2006,2016,Science,10.1126/science.1132491,Social priming,0.55,52,0.02,2000,0.0020001,failed_replication,4,Vohs et al. (2006). Money priming and self-sufficient behavior (Many Labs 3). *Science*. https://doi.org/10.1126/science.1132491
75,result_075.md,Attachment style and adult relationship satisfaction,Hazan & Shaver,1987,2018,JPSP,10.1037/0022-3514.52.3.511,Attachment,0.55,620,0.5,4500,0.0009166666666666668,successful_replication,1,Hazan & Shaver (1987). Attachment style and adult relationship satisfaction. *JPSP*. https://doi.org/10.1037/0022-3514.52.3.511
76,result_076.md,Stress responses and cortisol reactivity,"Kirschbaum, Pirke, & Hellhammer",1993,2018,Neuropsychobiology,10.1159/000119004,Neuroscience,0.7,70,0.66,1300,0.0032444615384615385,successful_replication,1,"Kirschbaum, Pirke, & Hellhammer (1993). Stress responses and cortisol reactivity. *Neuropsychobiology*. https://doi.org/10.1159/000119004"
77,result_077.md,Cognitive depletion and intertemporal choice,Hofmann et al.,2012,2019,JPSP,10.1037/a0026545,Self-regulation,0.4,205,0.08,1100,0.003639272727272727,failed_replication,3,Hofmann et al. (2012). Cognitive depletion and intertemporal choice. *JPSP*. https://doi.org/10.1037/a0026545
78,result_078.md,Reflective vs intuitive thinking and religious belief,"Shenhav, Rand, & Greene",2012,2018,JEP:G,10.1037/a0025391,Cognition,0.4,882,0.3,1500,0.0026966666666666667,successful_replication,1,"Shenhav, Rand, & Greene (2012). Reflective vs intuitive thinking and religious belief. *JEP:G*. https://doi.org/10.1037/a0025391"
79,result_079.md,Babyfaced overgeneralization and trustworthiness,Zebrowitz & Montepare,2008,2018,Soc & Per Psych Compass,10.1111/j.1751-9004.2008.00109.x,Face perception,0.45,252,0.4,940,0.004340425531914893,successful_replication,1,Zebrowitz & Montepare (2008). Babyfaced overgeneralization and trustworthiness. *Soc & Per Psych Compass*. https://doi.org/10.1111/j.1751-9004.2008.00109.x
80,result_080.md,Embodied cognition: vertical motion and time perception,Casasanto & Boroditsky,2008,2018,Cognition,10.1016/j.cognition.2007.03.004,Embodiment,0.5,200,0.45,1100,0.003728409090909091,successful_replication,2,Casasanto & Boroditsky (2008). Embodied cognition: vertical motion and time perception. *Cognition*. https://doi.org/10.1016/j.cognition.2007.03.004
81,result_081.md,Stereotype threat in older adults' memory,Hess et al.,2003,2018,JG:Psych Sci,10.1093/geronb/58.1.P3,Stereotype threat,0.4,92,0.18,580,0.00692448275862069,failed_replication,1,Hess et al. (2003). Stereotype threat in older adults' memory. *JG:Psych Sci*. https://doi.org/10.1093/geronb/58.1.P3
82,result_082.md,Implicit theories of intelligence and effort attribution,Hong et al.,1999,2018,JPSP,10.1037/0022-3514.77.3.588,Mindset,0.5,200,0.41,1200,0.003403375,successful_replication,1,Hong et al. (1999). Implicit theories of intelligence and effort attribution. *JPSP*. https://doi.org/10.1037/0022-3514.77.3.588
83,result_083.md,Disgust sensitivity and political conservatism,Inbar et al.,2009,2018,Emotion,10.1037/a0015960,Political psych,0.3,24000,0.22,30000,0.00013414,successful_replication,2,Inbar et al. (2009). Disgust sensitivity and political conservatism. *Emotion*. https://doi.org/10.1037/a0015960
84,result_084.md,Empathy gap and pain prediction (Loewenstein analog),Read & Loewenstein,1995,2018,JESP,10.1006/jesp.1995.1018,Decision-making,0.55,75,0.45,600,0.006835416666666667,successful_replication,1,Read & Loewenstein (1995). Empathy gap and pain prediction (Loewenstein analog). *JESP*. https://doi.org/10.1006/jesp.1995.1018
85,result_085.md,Cognitive reflection test and analytic thinking,Frederick,2005,2018,JEP,10.1257/089533005775196732,Reasoning,0.6,3428,0.55,12000,0.0003459375,successful_replication,1,Frederick (2005). Cognitive reflection test and analytic thinking. *JEP*. https://doi.org/10.1257/089533005775196732
